1	61	4	878542420
1	189	3	888732928
1	33	4	878542699
1	160	4	875072547
1	20	4	887431883
1	202	5	875072442
1	171	5	889751711
1	265	4	878542441
1	155	2	878542201
1	117	3	874965739
1	47	4	875072125
1	222	4	878873388
1	253	5	874965970
1	113	5	878542738
1	227	4	876892946
1	17	3	875073198
1	90	4	878542300
1	64	5	875072404
1	92	3	876892425
1	228	5	878543541
1	266	1	885345728
1	121	4	875071823
1	114	5	875072173
1	132	4	878542889
1	74	1	889751736
1	134	4	875073067
1	98	4	875072404
1	186	4	875073128
1	221	5	887431921
1	84	4	875072923
1	31	3	875072144
1	70	3	875072895
1	60	5	875072370
1	177	5	876892701
1	27	2	876892946
1	260	1	875071713
1	145	2	875073067
1	174	5	875073198
1	159	3	875073180
1	82	5	878542589
1	56	4	875072716
1	272	3	887431647
1	80	4	876893008
1	229	4	878542075
1	140	1	878543133
1	225	2	878542738
1	235	5	875071589
1	120	1	875241637
1	125	3	878542960
1	215	3	876893145
1	6	5	887431973
1	104	1	875241619
1	49	3	878542478
1	206	4	876893205
1	76	4	878543176
1	72	4	878542678
1	185	4	875072631
1	96	5	875072716
1	213	2	876892896
1	233	2	878542552
1	258	5	878873389
1	81	5	875072865
1	78	1	878543176
1	212	4	875072895
1	143	1	875072631
1	151	4	875072865
1	51	4	878543275
1	175	5	875072547
1	107	4	875241619
1	218	3	876892856
1	209	4	888732908
1	259	1	875692979
1	108	5	875240920
1	262	3	875071421
1	12	5	878542960
1	14	5	874965706
1	97	3	875073128
1	44	5	878543541
1	53	3	876893206
1	163	4	875072442
1	210	4	878542909
1	184	4	875072956
1	157	4	876892918
1	201	3	878542960
1	150	5	876892196
1	183	5	875072262
1	248	4	874965954
1	214	4	875072520
1	161	4	875072303
1	62	3	878542282
1	188	3	875073128
1	102	2	889751736
1	69	3	875072262
1	170	5	876892856
1	38	3	878543075
1	9	5	878543541
1	246	5	874965905
1	22	4	875072404
1	21	1	878542772
1	179	3	875072370
1	187	4	874965678
1	135	4	875072404
1	68	4	875072688
1	146	4	875071561
1	176	5	876892468
1	166	5	874965677
1	138	1	878543006
1	247	1	875241619
1	89	5	875072484
1	2	3	876893171
1	30	3	878542515
1	63	2	878543196
1	249	4	874965970
1	269	5	877482427
1	32	5	888732909
1	141	3	878542608
1	211	3	878541970
1	40	3	876893230
1	270	5	888732827
1	133	4	876892818
1	239	4	878542845
1	194	4	876892743
1	256	4	889751712
1	220	3	875241390
1	93	5	875071484
1	8	1	875072484
1	205	3	878542909
1	234	4	876892355
1	105	2	875240739
1	147	3	875240993
1	99	3	875072547
1	1	5	874965758
1	197	5	875072956
1	173	5	878541803
1	75	4	878543238
1	268	5	875692927
1	34	2	878542869
1	144	4	875073180
1	271	2	887431672
1	119	5	876893098
1	26	3	875072442
1	158	3	878542699
1	37	2	878543030
1	181	5	874965739
1	136	3	876893206
1	257	4	874965954
1	237	2	875071749
1	131	1	878542552
1	109	5	874965739
1	182	4	875072520
1	71	3	876892425
1	223	5	876892918
1	46	4	876893230
1	169	5	878543541
1	41	2	876892818
1	162	4	878542420
1	110	1	878542845
1	66	4	878543030
1	77	4	876893205
1	199	4	875072262
1	57	5	878542459
1	50	5	874965954
1	192	4	875072547
1	178	5	878543541
1	5	3	889751712
1	87	5	878543541
1	238	4	875072235
1	156	4	874965556
1	106	4	875241390
1	167	2	878542383
1	115	5	878541637
1	11	2	875072262
1	245	2	875071713
1	35	1	878542420
1	137	5	875071541
2	292	4	888550774
2	251	5	888552084
2	50	5	888552084
2	314	1	888980085
2	297	4	888550871
2	290	3	888551441
2	312	3	888550631
2	281	3	888980240
2	13	4	888551922
2	280	3	888551441
2	303	4	888550774
2	308	3	888979945
2	307	3	888550066
2	257	4	888551062
2	316	5	888979693
2	315	1	888550774
2	301	4	888550631
2	313	5	888552084
2	279	4	888551745
2	299	4	888550774
2	1	4	888550871
2	305	3	888550065
2	14	4	888551853
2	287	3	888551235
2	291	3	888551647
2	293	4	888550939
2	294	1	888551648
2	310	4	888979061
2	309	1	888980029
2	306	4	888550774
2	25	4	888551648
2	273	4	888551647
2	10	2	888551853
2	311	5	888552084
2	269	4	888550774
2	255	4	888551341
2	284	4	888552017
2	274	3	888551497
2	237	4	888552017
2	300	4	888979197
3	335	1	889237269
3	245	1	889237247
3	337	1	889236983
3	343	3	889237122
3	323	2	889237269
3	331	4	889237455
3	294	2	889237224
3	332	1	889237224
3	328	5	889237455
3	334	3	889237122
3	350	3	889237076
3	341	1	889237055
3	318	4	889237482
3	300	2	889236939
3	345	3	889237004
3	299	3	889237199
3	324	2	889237247
3	321	5	889237455
3	260	4	889237455
3	268	3	889236961
